Standard Deviation of c38: CPU = 8.03392182102794 | MEM = 101.3200075153101
Standard Deviation of c39: CPU = 5.624817635932741 | MEM = 102.52074169320207
Standard Deviation of c40: CPU = 4.328081939897124 | MEM = 101.18123330336074
Standard Deviation of c41: CPU = 10.284349250495767 | MEM = 101.32412845880545
Standard Deviation of c42: CPU = 13.707301575914041 | MEM = 99.91528568772125
Standard Deviation of c44: CPU = 24.105754951048514 | MEM = 99.98043496246378
Standard Deviation of c43: CPU = 14.122984812000611 | MEM = 100.17715690934689
Standard Deviation of c45: CPU = 14.972774500394689 | MEM = 102.43076650803778
Standard Deviation of c46: CPU = 14.088120586744942 | MEM = 100.79023436592166
Standard Deviation of c47: CPU = 5.889592692481656 | MEM = 98.32619967206153
Standard Deviation of c48: CPU = 4.467417847282949 | MEM = 98.3670858998851
Standard Deviation of c49: CPU = 19.459982076648206 | MEM = 101.91277530241864
Standard Deviation of c50: CPU = 20.707385526908027 | MEM = 98.88900237260681
Standard Deviation of c51: CPU = 28.55853042157457 | MEM = 100.36446936187872
Standard Deviation of c52: CPU = 31.13716606846306 | MEM = 99.54182163000928
Standard Deviation of c53: CPU = 33.74736796593327 | MEM = 102.79589104346292
Standard Deviation of c54: CPU = 32.279130157889945 | MEM = 99.08618643014695
Standard Deviation of c55: CPU = 24.10490393341266 | MEM = 99.42126238871636
Standard Deviation of c57: CPU = 24.57022271286933 | MEM = 100.11003152880541
Standard Deviation of c56: CPU = 10.65130039009322 | MEM = 99.63312759006759
Standard Deviation of c58: CPU = 5.010548789659045 | MEM = 102.3739441353835
Standard Deviation of c59: CPU = 13.314234995475301 | MEM = 100.35777556917125
Standard Deviation of c60: CPU = 15.708074525319951 | MEM = 101.71789433695858
Standard Deviation of c61: CPU = 17.398444577720376 | MEM = 100.31989581632668
Standard Deviation of c63: CPU = 22.73663678207487 | MEM = 98.41502417886704
Standard Deviation of c62: CPU = 16.164941955896406 | MEM = 99.46688418138388
Standard Deviation of c64: CPU = 16.663295742439427 | MEM = 100.81702080264877
Standard Deviation of c65: CPU = 12.067506963145103 | MEM = 100.76602031778428
Standard Deviation of c66: CPU = 11.683174611380249 | MEM = 102.51194129597236
Standard Deviation of c67: CPU = 13.594224614046322 | MEM = 104.87620149122976
Standard Deviation of c69: CPU = 39.858610875662734 | MEM = 99.66030412767594
Standard Deviation of c68: CPU = 15.72758942975157 | MEM = 97.39720568169896
Standard Deviation of c70: CPU = 27.159105351840967 | MEM = 99.8349431982747
Standard Deviation of c71: CPU = 28.142180015059242 | MEM = 102.48458278446978
